@relation pandasdata
@attribute average_depth real
@attribute median_depth real
@attribute minimum_depth real
@attribute standard_deviation real
@attribute closer_than_5 real
@attribute corners real
@attribute corners_closer_than_5 real
@attribute number_of_blobs real
@attribute total_blob_area real
@attribute average_blob_size real
@attribute std_blob_area real
@attribute std_blob_points real
@attribute number_of_close_blobs real
@attribute total_close_blob_area real
@attribute average_close_blob_size real
@attribute std_blob_area real
@attribute std_blob_points real
@attribute class {no,yes}
@data
4.967768395554042,3.1,1.5,4.50099955112889,516350,150.0,82,15,843.3039417266846,56.22026278177897,18.244530657640308,316.7902046169049,14,843.3039417266846,56.22026278177897,18.244530657640308,316.7902046169049,yes
7.42738225792385,4.8,2.2,5.427299946450515,278858,12.0,0,2,100.26692199707031,50.133460998535156,0.0,0.0,0,0.0,0.0,0.0,0.0,no
7.4538085913724546,6.2,2.3,4.634133109840218,249148,150.0,0,2,54.59305381774902,27.29652690887451,0.0,0.0,0,0.0,0.0,0.0,0.0,no
4.973011466158337,3.7,2.1,3.2407283017378954,308048,150.0,124,17,967.6724796295166,56.92191056644215,17.39847863098655,314.2842163603889,16,967.6724796295166,56.92191056644215,17.39847863098655,314.2842163603889,yes
8.749607819338983,7.6,2.9,4.82436975649761,180474,150.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,no
7.639558587253714,4.8,2.1,5.774211669438236,278939,8.0,0,6,358.66922760009766,59.778204600016274,21.81641537277231,274.7410957530494,2,358.66922760009766,59.778204600016274,21.81641537277231,274.7410957530494,no
4.844773862042043,3.0,1.6,3.9922945667360112,425218,121.0,119,14,712.8566551208496,50.91833250863211,12.325394351239542,206.4634877743966,13,712.8566551208496,50.91833250863211,12.325394351239542,206.4634877743966,yes
4.094119198616314,3.3,1.4,2.435980033884951,510473,150.0,103,12,748.4920864105225,62.374340534210205,17.676719653865643,350.34660799023015,12,748.4920864105225,62.374340534210205,17.676719653865643,350.34660799023015,no
5.963920375203442,4.0,1.3,4.050072629047345,419453,150.0,147,6,183.32738494873047,30.554564158121746,5.371223172222232,480.40842798017655,5,183.32738494873047,30.554564158121746,5.371223172222232,480.40842798017655,no
5.908175761609983,3.8,1.8,5.087860343340897,345345,150.0,122,7,471.42001152038574,67.34571593148368,24.945592517079575,258.76890720513535,7,471.42001152038574,67.34571593148368,24.945592517079575,258.76890720513535,yes
