@relation pandasdata
@attribute average_depth real
@attribute median_depth real
@attribute minimum_depth real
@attribute standard_deviation real
@attribute closer_than_5 real
@attribute corners real
@attribute corners_closer_than_5 real
@attribute number_of_blobs real
@attribute total_blob_area real
@attribute average_blob_size real
@attribute class {no,yes}
@data
5.338968366756145,3.0,1.6,4.620738404214022,439716,150,143,20,1117.6115264892578,53.21959649948847,yes
5.119777888019831,3.0,1.6,4.406823523279915,438005,150,147,15,797.7631988525391,49.86019992828369,yes
4.978869699294144,3.0,1.6,4.17889253041382,440121,150,147,17,965.2705268859863,53.626140382554794,yes
4.844773862042043,3.0,1.6,3.9922945667360112,425218,117,115,14,712.2714233398438,47.484761555989586,yes
5.311067305197816,3.2,1.7,4.22650856014565,350746,55,53,9,445.1050148010254,44.51050148010254,yes
5.2678398897097125,3.2,1.7,4.197331804361173,352166,48,43,11,601.7633476257324,50.1469456354777,yes
7.369160192220181,5.0,2.6,5.043107347241044,210580,7,2,7,365.25135612487793,45.65641951560974,no
7.880828059628398,5.5,2.6,5.338661900623346,221305,15,0,4,239.02083206176758,47.80416641235352,no
7.42738225792385,4.8,2.2,5.427299946450515,278858,12,0,2,100.54084777832031,33.51361592610677,no
7.470691074398645,4.7,2.0,5.637553729855756,313358,9,0,6,278.4846782684326,39.783525466918945,no
7.386010334474797,4.5,2.0,5.742063697277602,319646,14,0,6,337.383243560791,48.197606222970144,no
7.88530037657088,4.7,2.0,6.134993882620642,333067,32,0,6,309.67988204956055,44.239983149937224,no
7.4194549795621505,4.4,2.0,6.076879037877962,335316,44,4,5,204.52506828308105,34.08751138051351,no
7.106460012680012,4.1,1.9,5.913903908956576,354815,85,22,7,397.77907943725586,49.72238492965698,no
6.2579424796441145,3.6,1.9,5.357141716317486,356789,150,75,5,243.9385585784912,40.656426429748535,no
5.471743983034578,3.3,1.9,4.669028465693679,375976,147,99,2,118.80747985839844,39.60249328613281,no
6.2822332460947825,3.8,2.0,5.264308893684184,337606,81,47,4,202.14649963378906,40.429299926757814,no
5.7098056092277085,3.7,1.9,4.6445251179768645,332176,8,0,1,27.284090042114258,13.642045021057129,no
6.868099690753716,4.2,2.0,5.483148143862899,313716,16,0,6,306.76218032836914,43.82316861833845,no
5.6480005934284865,4.2,2.2,3.7616060362920307,257597,124,88,2,101.86992645263672,33.956642150878906,no
6.26504682624872,4.3,2.1,4.686285759109808,231109,65,23,2,139.03697204589844,46.34565734863281,yes
6.405291897326124,4.5,2.2,4.5999117458624985,215841,63,23,1,43.836334228515625,21.918167114257812,yes
7.194320767613496,5.4,2.4,4.616049509769356,162286,36,8,4,229.07820892333984,45.81564178466797,yes
8.333567320099162,6.8,3.4,4.596053041142768,87614,14,2,1,48.40947723388672,24.20473861694336,yes
